ax,ay,az,gx,gy,gz
-7.367,-6.083,1.524,3.291,-1.806,-0.968
-7.456,-12.45,3.793,2.838,-0.348,-0.741
-3.902,-14.385,2.397,2.12,1.826,-0.344
-0.647,-14.358,1.824,1.415,2.316,-0.109
-0.141,-12.285,0.218,0.9,2.132,-0.095
1.255,-11.322,-0.653,0.556,1.412,-0.124
0.289,-9.773,-1.568,0.396,0.926,-0.199
0.978,-9.335,-1.236,0.254,0.245,-0.235
0.56,-9.206,-1.302,0.085,-0.439,-0.246
0.523,-10.204,-0.582,-0.14,-1.042,-0.267
0.303,-12.376,-0.165,-0.432,-1.288,-0.454
2.109,-18.089,0.684,-0.87,-1.361,-0.831
1.921,-23.406,3.685,-1.34,-0.406,-0.867
2.476,-20.723,9.154,-2.986,1.549,0.806
-1.187,-2.558,4.351,-3.694,2.404,1.759
3.262,4.686,1.956,-3.727,2.374,1.242
2.361,15.753,-2.091,-3.285,2.745,1.074
3.792,25.594,-7.25,-2.383,0.561,0.859
0.307,26.487,-14.43,-0.063,-2.062,-1.181
1.931,10.856,-8.98,1.488,-3.63,-2.431
-4.642,5.946,-6.471,2.339,-3.684,-2.001
-5.524,-0.631,-2.597,2.888,-3.809,-1.525
-7.603,-5.744,-0.814,3.123,-1.984,-1.388
-3.893,-10.446,1.692,2.966,-0.487,-1.043
-2.559,-12.954,0.729,2.549,0.578,-0.769
-0.299,-13.434,0.506,1.947,1.123,-0.466
-0.371,-12.284,-0.239,1.294,1.221,-0.351
0.482,-11.633,0.316,0.623,0.83,-0.176
-0.741,-10.62,-0.154,0.18,0.296,-0.093
0.093,-10.734,0.203,-0.2,0.252,-0.088
0.989,-12.646,1.43,-0.449,-0.17,-0.337
2.33,-17.62,3.229,-0.734,-0.743,-0.806
1.101,-22.082,5.411,-1.477,-0.655,-1.13
2.17,-21.816,9.24,-2.995,0.512,0.072
3.452,-3.562,6.805,-4.436,1.468,1.15
5.135,4.224,4.58,-4.417,1.239,0.705
2.272,14.594,-1.706,-4.145,1.33,0.399
4.434,22.979,-7.338,-2.877,0.307,0.441
0.147,25.244,-12.918,-0.669,-1.783,-1.096
-3.526,9.092,-11.071,1.537,-2.841,-2.312
-7.991,4.023,-9.598,2.259,-2.37,-1.863
-6.611,-0.703,-4.516,2.793,-1.995,-1.281
-7.948,-4.788,-0.831,2.614,-0.746,-1.101
-4.33,-7.774,0.889,2.28,0.4,-0.78
-2.235,-10.027,0.946,1.791,0.589,-0.5
-0.669,-10.977,0.369,1.34,0.853,-0.164
0.173,-12.084,-0.518,0.85,0.708,0.021
0.479,-12.007,-1.336,0.53,0.613,0.098
0.224,-11.529,-1.672,0.258,0.238,0.004
0.884,-11.446,-1.132,0.124,0.263,-0.237
2.862,-14.388,0.341,-0.102,-0.248,-0.588
3.429,-19.379,2.794,-0.647,-0.589,-0.803
1.021,-21.676,5.941,-1.802,-0.081,-0.577
1.016,-14.07,9.869,-3.605,1.864,0.857
1.199,-3.532,11.098,-3.706,1.96,1.824
1.884,5.187,8.558,-3.755,2.119,1.332
-0.152,17.187,2.966,-2.897,1.868,0.743
3.395,24.436,-2.18,-0.996,-0.533,0.101
-0.447,18.958,-6.83,1.515,-3.849,-1.976
-3.6,10.37,-7.514,2.152,-3.937,-3.304
-7.127,4.668,-6.482,2.749,-3.616,-2.991
-5.974,-2.088,-2.373,3.013,-1.839,-2.321
-6.582,-6.806,0.935,2.705,0.609,-1.71
-2.647,-9.081,2.342,2.193,2.924,-0.633
-0.498,-10.965,1.641,1.803,3.373,0.393
-0.129,-11.059,1.633,1.641,3.484,1.375
-0.016,-11.863,1.136,1.235,2.812,1.88
-0.429,-12.607,0.61,0.885,2.22,1.92
-0.341,-12.401,0.127,0.616,1.502,1.69
-0.086,-11.719,0.201,0.461,0.871,1.199
1.133,-11.612,0.416,0.212,0.253,0.555
3.456,-14.115,1.659,-0.063,-0.592,-0.032
4.667,-20.974,3.907,-0.648,-1.465,-0.536
2.871,-24.734,7.369,-1.967,-0.799,-0.422
1.93,-13.821,11.214,-3.72,1.049,1.023
3.147,-1.255,12.328,-3.687,1.216,1.99
3.756,8.143,10.341,-3.674,0.99,1.46
0.471,21.932,4.414,-2.926,1.275,1.07
2.018,30.209,-0.746,-0.824,-1.165,0.466
-2.091,20.655,-4.398,1.68,-4.1,-1.559
-5.293,6.912,-4.346,2.125,-4.293,-2.821
-9.433,0.717,-4.865,2.638,-3.06,-2.457
