ax,ay,az,gx,gy,gz
-10.067,3.743,-2.71,1.502,-0.115,1.916
-11.261,-3.447,-1.595,1.974,0.385,2.637
-10.779,-7.951,-0.311,2.063,0.761,2.629
-9.152,-9.873,0.639,1.841,1.2,2.274
-7.169,-9.813,0.199,1.593,1.318,1.948
-5.974,-9.881,-0.063,1.284,1.175,1.721
-5.45,-8.838,-0.262,1.024,0.886,1.515
-5.396,-7.4,-0.153,0.683,0.524,1.382
-4.515,-5.161,-0.089,0.424,0.135,1.523
-3.344,-3.634,0.174,0.172,-0.185,2.323
-5.656,-2.624,0.987,-0.088,-0.079,3.705
-15.485,-5.744,2.911,-0.617,-0.483,4.021
-24.147,-9.006,5.082,-1.471,-0.152,2.096
-35.085,-5.985,9.778,-2.654,0.507,-0.309
-40.698,-0.024,12.936,-3.439,1.515,-3.291
-36.304,6.601,12.124,-3.518,1.33,-5.851
-25.857,14.551,8.188,-3.007,1.317,-6.218
-17.982,19.09,4.839,-1.779,0.924,-3.807
-10.624,13.347,0.126,-0.194,0.244,-1.474
-5.954,5.283,-2.824,0.946,-0.421,0.597
-7.279,-1.99,-2.892,1.514,-0.21,1.996
-7.934,-7.165,-0.551,1.843,0.475,2.643
-8.01,-9.605,0.342,1.83,0.78,2.702
-7.281,-9.205,0.343,1.761,1.093,2.882
-7.37,-8.707,0.44,1.558,1.567,3.29
-7.009,-7.889,0.984,1.262,1.719,3.679
-6.537,-5.927,1.007,0.86,1.174,3.83
-7.045,-4.425,1.568,0.541,0.595,3.943
-7.198,-3.614,1.768,0.248,0.091,4.049
-10.392,-4.497,1.749,-0.194,-0.573,4.039
-16.441,-7.93,1.134,-0.999,-1.199,3.112
-25.48,-9.963,3.227,-1.92,-0.323,1.044
-32.926,-7.556,9.22,-2.694,1.054,-1.539
-38.504,0.316,13.304,-3.715,1.781,-4.158
-32.549,9.851,13.598,-3.704,2.387,-5.966
-26.234,17.985,12.084,-2.805,1.833,-5.96
-19.305,21.153,8.104,-1.467,0.985,-4.287
-12.215,16.704,1.786,-0.259,0.216,-1.993
-6.278,7.851,-1.933,1.176,-0.268,0.123
-8.585,-1.8,-2.07,1.775,-0.592,1.585
-9.337,-8.025,-0.321,1.879,0.238,2.169
-8.164,-11.336,0.619,1.658,0.688,2.307
-7.574,-10.852,0.528,1.413,0.863,2.353
-6.503,-10.855,0.432,1.217,1.341,2.542
-5.458,-9.332,0.386,1.143,1.416,2.71
-4.5,-7.749,0.586,1.072,1.315,2.835
-3.699,-5.449,0.86,0.967,0.891,3.075
-3.946,-3.578,0.831,0.912,0.343,3.344
-6.455,-2.697,0.175,0.829,-0.159,3.626
-13.876,-8.361,0.96,0.395,-0.109,3.537
-21.573,-13.185,3.319,-0.885,-0.084,1.385
-30.437,-11.699,8.451,-2.378,0.22,-1.16
-35.331,-7.528,11.222,-3.504,0.468,-3.769
-33.144,0.103,11.937,-3.803,0.608,-5.434
-27.343,10.046,9.465,-3.349,-0.2,-5.864
-21.442,16.303,5.787,-1.831,-0.12,-3.621
-15.117,12.647,1.264,-0.026,-0.275,-1.148
-11.278,6.392,-0.887,1.263,-0.311,1.045
-12.122,-2.559,-1.269,1.662,-0.147,2.151
-11.28,-7.89,-0.1,1.616,0.549,2.438
-11.061,-10.101,0.787,1.306,0.642,2.165
-8.867,-9.025,0.117,1.087,1.065,1.95
-7.301,-7.932,0.053,1.131,1.174,2.044
-5.957,-6.703,0.531,1.213,1.078,2.151
-5.434,-5.535,0.923,1.285,0.643,2.205
-4.426,-3.843,1.01,1.31,0.551,2.371
-4.623,-2.615,0.89,1.309,-0.042,2.564
-6.833,-2.506,0.335,1.139,-0.331,2.773
-10.094,-4.389,0.092,0.83,-0.335,3.036
-16.46,-9.675,2.504,0.108,-0.155,2.316
-25.406,-12.156,8.249,-1.203,-0.094,-0.009
-34.898,-9.167,15.482,-2.997,0.142,-2.459
-36.218,-1.313,16.683,-4.288,0.726,-4.956
-31.206,6.696,14.647,-4.132,0.537,-6.112
-26.04,15.213,11.057,-3.119,0.088,-5.422
-19.915,16.505,5.568,-1.373,-0.006,-3.044
-11.318,11.344,-0.552,0.64,0.117,-0.818
-8.906,2.001,-1.084,2.113,-0.324,1.278
-11.545,-5.473,1.171,2.274,-0.003,2.077
-10.894,-9.922,2.31,1.952,0.838,2.166
-8.442,-10.349,2.709,1.578,1.43,2.216
-7.401,-9.839,2.492,1.353,1.599,2.464
-6.499,-8.821,2.413,1.256,1.87,2.761
-5.6,-7.346,2.507,1.253,1.774,3.117
-5.343,-5.565,2.486,1.207,1.436,3.38
-5.36,-3.88,2.026,1.131,0.547,3.493
-5.803,-3.182,1.48,1.084,-0.127,3.561
-7.345,-3.088,1.333,0.862,-0.753,3.609
-11.262,-5.929,2.903,0.359,-1.644,3.314
-19.388,-9.497,7.586,-0.9,-1.378,2.029
-27.697,-9.193,16.126,-2.749,-0.265,-0.513
-36.415,-1.608,23.629,-4.66,0.52,-3.055
-34.377,7.069,25.301,-5.414,1.35,-5.351
-29.7,15.114,22.112,-4.974,1.404,-6.1
-23.696,20.877,16.379,-3.386,0.884,-5.081
-17.302,19.303,7.946,-1.132,0.169,-2.761
-9.885,9.952,1.478,1.08,-0.057,-0.489
-11.254,-0.325,0.105,2.109,-0.306,1.443
-13.336,-7.087,1.383,2.148,0.895,2.071
-11.174,-11.249,2.547,1.721,1.79,2.027
-8.676,-11.181,2.83,1.217,2.551,2.099
-5.903,-9.922,2.872,0.768,2.742,2.426
-4.076,-7.72,2.909,0.579,2.258,2.878
-3.024,-5.837,2.997,0.484,1.496,3.392
-3.2,-3.725,2.679,0.522,0.81,3.96
-4.282,-2.179,1.848,0.586,-0.397,4.203
-8.306,-1.282,1.198,0.677,-1.681,4.1
-13.783,-2.658,2.157,0.569,-2.081,3.676
-19.4,-5.851,4.827,-0.201,-1.587,2.485
-25.989,-6.615,10.515,-1.624,-1.047,-0.084
-32.584,-3.381,17.437,-3.275,-0.051,-2.719
-33.791,3.329,19.977,-4.655,1.214,-5.216
-26.722,10.775,17.986,-4.949,2.019,-6.525
-20.65,17.426,13.957,-4.055,1.328,-6.035
-16.054,19.395,7.771,-2.286,0.536,-3.908
-10.809,14.126,1.304,-0.285,0.051,-1.706
-8.122,5.589,-0.923,1.432,-0.157,0.434
-11.133,-2.737,-0.165,1.977,0.198,1.678
-11.199,-8.233,1.366,1.858,1.025,1.979
-8.792,-10.845,1.937,1.457,1.66,1.921
-5.983,-10.175,1.585,1.115,1.664,2.197
-5.516,-9.466,1.02,1.038,1.52,2.365
-4.428,-8.457,1.195,1.048,1.103,2.352
-4.263,-7.228,0.959,1.001,0.293,2.276
-4.308,-5.558,0.571,0.944,-0.13,2.382
-5.088,-4.736,0.613,0.924,-0.072,2.637
-5.327,-4.322,0.784,0.591,-0.068,3.312
-13.258,-6.377,1.868,0.023,-0.219,3.842
-22.355,-10.838,5.14,-1.098,0.196,2.238
-32.676,-8.952,12.863,-2.628,0.82,-0.064
-41.8,-1.777,18.692,-4.109,0.926,-2.797
-41.111,7.031,18.636,-4.617,0.739,-5.641
-32.258,15.619,14.407,-4.055,0.536,-6.532
-23.686,22.738,10.145,-2.424,0.362,-4.309
-17.196,18.136,3.397,-0.44,-0.227,-1.809
-9.364,8.443,-1.643,1.269,-0.238,0.437
-8.805,-1.866,-1.475,2.001,0.279,2.513
-9.91,-8.793,0.945,1.95,0.801,3.102
-9.263,-11.696,1.297,1.572,1.599,2.914
-6.344,-9.967,0.989,1.289,2.029,3.112
-6.858,-9.387,0.795,1.147,2.073,3.344
-7.212,-7.874,0.758,0.971,1.787,3.405
-7.276,-5.916,0.822,0.723,1.282,3.421
-7.481,-3.802,0.745,0.435,0.481,3.47
-7.661,-3.098,-0.319,0.214,-0.12,3.363
-7.936,-2.087,-1.183,0.04,-0.818,3.401
-12.003,-6.357,-0.612,-0.138,-1.725,3.111
-21.988,-10.687,3.712,-0.901,-1.379,1.594
-31.803,-9.274,11.717,-2.14,-0.738,-0.901
-40.618,-0.214,18.787,-3.725,-0.004,-3.494
-37.602,10.671,19.149,-4.361,0.595,-5.537
-30.922,20.336,16.426,-3.845,0.922,-5.746
-23.414,26.35,11.521,-2.405,0.397,-4.026
-16.035,22.124,4.331,-0.82,0.523,-1.735
-7.953,11.21,-1.724,0.998,0.302,0.43
-9.472,-0.687,-1.266,1.819,0.489,2.056
-11.097,-7.17,0.716,1.534,1.355,2.532
-8.43,-10.124,1.004,0.992,2.084,2.561
-7.026,-8.978,0.197,0.848,1.616,2.915
-7.282,-9.255,0.098,0.867,1.563,3.114
-7.122,-9.32,0.081,0.844,0.994,3.195
-7.562,-8.211,0.304,0.748,-0.118,2.981
-7.607,-6.803,0.339,0.639,-0.903,2.781
-7.077,-5.528,0.462,0.479,-0.681,2.854
-6.74,-3.818,0.836,0.191,-0.867,3.351
-14.764,-5.318,3.953,-0.306,-1.582,3.278
-24.938,-9.171,8.209,-1.441,-0.377,1.398
-33.431,-5.382,15.928,-3.008,0.555,-0.903
-39.859,0.985,21.122,-4.464,0.704,-3.62
-36.92,9.644,20.466,-4.779,0.834,-5.603
-28.234,17.937,15.593,-4.208,1.253,-5.79
-19.589,23.996,10.23,-2.48,0.564,-3.338
-14.166,18.176,3.627,-0.348,0.311,-0.87
-9.308,9.161,-0.358,1.531,-0.005,1.413
-11.934,-1.725,0.098,2.23,0.306,2.572
-11.866,-8.81,1.985,2.248,1.19,2.735
-10.052,-11.854,2.541,1.784,1.748,2.468
-7.102,-11.05,1.964,1.327,1.999,2.551
-6.681,-10.002,1.373,1.068,1.961,2.635
-5.676,-8.513,1.501,0.906,1.53,2.893
-5.646,-6.291,1.369,0.714,0.97,3.296
